Artist ID,Album ID,Album URL,Album date,Video link
Group-my-rakl,2026-wish-upon-the-stars,/musicalbum/2026-Wish-Upon-the-Stars,260126,-xw1nTIH50I
Group-tws,2026-nice-to-see-you-again-korean-ver,/musicalbum/2026-Nice-To-See-You-Again-Korean-ver,260209,
Idol-hweseung,2026-run-with-me,/musicalbum/2026-Run-With-Me,260129,2M65XQn-2Pk
Group-all-h-ours,2026-my-spring-my-light-my-breath,/musicalbum/2026-My-Spring-My-Light-My-Breath,260129,AEYrm_IFoKk
Group-onewe,2026-ferris-wheel,/musicalbum/2026-Ferris-Wheel,260114,KyRERlh3X28
Idol-chaeryeong,2026-no-tail-to-tell-pt-4,/musicalbum/2026-No-Tail-to-Tell-Pt-4,260130,VSzrNrTeXMM
Idol-unknown,2026-never-meant-to-be,/musicalbum/2026-Never-Meant-to-Be,260129,77IbsMVWyuQ
Idol-gist,2026-r-g,/musicalbum/2026-R-G,260128,
Idol-sungkyu2,2026-off-the-map,/musicalbum/2026-Off-The-Map,260302,
Idol-taehyun,2026-like-the-movies,/musicalbum/2026-Like-the-movies,260130,FG2BQp9oRik
Group-navillera,2026-no-limit,/musicalbum/2026-No-Limit,260203,
Group-one-or-eight,2026-gather,/musicalbum/2026-GATHER,260128,Qcz-7evvAqY
Group-one-pact,2026-1-only,/musicalbum/2026-1-ONLY,260226,
