Artist ID,Album ID,Album URL,Album date,Video link,Album type,Label,ID
Group-kaja,2026-future-calling,/musicalbums/2026-Future-Calling,260107,QohU4Ucme3c,single,Sony Music Labels Inc.,29f89bc1-872b-4052-a88e-d97b9d97f9e1
Group-tnx,2026-call-me-back,/musicalbums/2026-Call-Me-Back,260122,0-xKvImq7Ek,single,P NATION,59a564a1-0554-41c8-b8eb-9c980a2d73d8
Idol-chanmina,2026-test-me,/musicalbums/2026-TEST-ME,260114,hQ4-H-nNNz4,single,NO LABEL MUSIC,93d86614-9804-4eba-b9a2-ce0349b784ec
Group-m-o-n-t,2026-history,/musicalbums/2026-History,260121,3IjtP7PRcrE,single,FM Entertainment,f3da37b4-67f7-4301-987d-030b1d951da3
Group-blackpink,2026-deadline,/musicalbums/2026-DEADLINE,260227,CgCVZdcKcqY,mini_album,YG Entertainment,38e95ef9-7953-4545-8f11-2cbd5e6684bd
Idol-unknown,2026-yin-and-yang,/musicalbums/2026-Yin-And-Yang,260116,,single,"KOZ Entertainment, P NATION",21e0e0cb-a5f6-4c93-935a-49a54e4de356
Idol-kim-dahyun,2026-black-swan,/musicalbums/2026-Black-Swan,260117,,mini_album,OGAM Entertainment,e0cdab14-4a84-494e-8d1e-21e575c8a963
Group-bts,2026-arirang,/musicalbums/2026-ARIRANG,260320,5e_VnIBO32I,mini_album,BigHit Music,d68d22e9-c48d-4cfc-a52c-c9c8ba110e5f
Group-comma,2026-toxic-sugar,/musicalbums/2026-Toxic-Sugar,260109,liIBNPLp6D8,single,4824company,0c57c8eb-befe-4a6f-a5e9-a8ac410b3a9a
Group-cravity,2026-blast-out,/musicalbums/2026-Blast-Out,260318,SoZeR3ttHKk,single,AMUSE,6d41b0b1-34bf-497e-84be-a1b64572d7dd
Group-dodree,2026-just-like-a-dream,/musicalbums/2026-Just-Like-A-Dream,260121,PqWApYzlfrU,single,INNIT Entertainment,696fbadc-c3ef-49a7-9371-4c14a151f046
Group-geenius,2026-love-don-t-change,/musicalbums/2026-Love-Don-t-Change,260115,,studio,HOMe,efad5260-a850-461a-b079-fe0accf4a174
Group-lngshot,2026-4shoboiz-mixtape,/musicalbums/2026-4SHOBOIZ-MIXTAPE,260116,Zl-LzXzy4vc,mini_album,More Vision,b7637529-79ff-4820-a969-2c7ac10fece5
Group-momoland,2026-white-spring,/musicalbums/2026-White-Spring,260123,,single,Inyeon Entertainment,9618f64b-dd0a-4df7-929e-a4fbd841e2bf
Group-whib,2026-rock-the-nation,/musicalbums/2026-ROCK-THE-NATION,260129,uRnl1Lj7GqM,mini_album,CJes Studios,4cf42d03-0973-4c5c-9c2c-041555346549
Group-young-posse,2026-visa-pilot3,/musicalbums/2026-Visa-Pilot3,260127,,single,"DSP Media, BEATS Entertainment",f61d96bf-916c-4f1e-9c93-5d3214a00476
Idol-coiblen,2026-c-o-d-e,/musicalbums/2026-C-O-D-E,260206,8m932pAU0f8,,,
Idol-unknown,2026-sealook-2-ost,/musicalbums/2026-Sealook-2-OST,260109,,ost,The Pinkfong Company,e1607d4d-2742-4e72-a312-1fd678b03bea
